topic_1,topic_2,mean_topic_1,mean_topic_2,mean_difference,u_statistic,p_value,p_value_adjusted,significant,cohens_d,effect_size
Climate Change & CO2 Debate,US Politics (Trump/Clinton/Obama),1.1111111111111112,1.5666666666666667,-0.4555555555555555,1615.5,6.581678484749915e-06,0.007114794442014658,True,-0.8415380781103973,Large
"Oil, Pipelines & Alberta Energy Industry",US Politics (Trump/Clinton/Obama),1.0952380952380953,1.5666666666666667,-0.4714285714285713,1216.0,6.97034023707739e-06,0.007534937796280659,True,-0.8182790533181354,Large
"Healthcare System: Doctors, Hospitals & Patients",Insults / Ad Hominem Flame Replies,1.196969696969697,2.066666666666667,-0.8696969696969699,203.0,6.981281604016681e-06,0.007546765413942032,True,-1.5989202645656417,Large
"Voting, Elections, Polls & Referendums","Gender, Feminism & Relationships",1.1046511627906976,1.4464285714285714,-0.34177740863787376,1623.5,7.864919069555464e-06,0.008501977514189457,True,-0.8272405497538842,Large
"Healthcare System: Doctors, Hospitals & Patients",Religion (Islam/Christianity) & Church Issues,1.196969696969697,1.5858585858585859,-0.38888888888888884,2140.5,1.1234423895249058e-05,0.012144412230764231,True,-0.6989521622808572,Medium
Political Scandal & Corruption (Senate/PMO),Insults / Ad Hominem Flame Replies,1.2222222222222223,2.066666666666667,-0.8444444444444446,231.0,1.2092979288172723e-05,0.013072510610514714,True,-1.4879263973479886,Large
Canadian Party Politics & Electoral Reform,Insults / Ad Hominem Flame Replies,1.0769230769230769,2.066666666666667,-0.98974358974359,63.0,1.390293578047675e-05,0.015029073578695366,True,-1.7290131163008249,Large
"Oil, Pipelines & Alberta Energy Industry","Gender, Feminism & Relationships",1.0952380952380953,1.4464285714285714,-0.35119047619047605,1157.5,1.5060756251428245e-05,0.016280677507793932,True,-0.7875125189782176,Medium
Race & Racism Discourse (White/Black),"War, Terrorism & Security (Syria/ISIS)",1.896551724137931,1.2448979591836735,0.6516537649542575,1075.0,1.5151340989158441e-05,0.016378599609280276,True,1.1656921054946152,Large
Race & Racism Discourse (White/Black),Columnist/Political Culture Commentary (Coyne etc.),1.896551724137931,1.0555555555555556,0.8409961685823755,437.5,1.5315582892645756e-05,0.01655614510695006,True,1.4268024181167085,Large
Religion (Islam/Christianity) & Church Issues,Evidence vs Truth Debate (Kingwell Thread),1.5858585858585859,1.04,0.5458585858585858,1840.5,1.5566509152826155e-05,0.016827396394205073,True,0.9656906317596408,Large
Race & Racism Discourse (White/Black),Debate About Terms / Argumentation Style,1.896551724137931,1.3,0.596551724137931,1497.5,1.603881429619757e-05,0.017337958254189573,True,0.9608558584421651,Large
Justin Trudeau & Canadian Federal Leadership,Insults / Ad Hominem Flame Replies,1.103448275862069,2.066666666666667,-0.9632183908045979,74.5,1.661103326825901e-05,0.017956526962987992,True,-1.69127105441751,Large
Israel–Palestine / Middle East Politics,"Cities, Transit & Urban Development",1.5185185185185186,1.1290322580645162,0.38948626045400236,2282.0,1.7959746292419476e-05,0.019414485742105452,True,0.7796673716795123,Medium
Israel–Palestine / Middle East Politics,Canada Identity / Provinces / General National Talk,1.5185185185185186,1.2222222222222223,0.2962962962962963,2616.0,1.8779414766088578e-05,0.020300547362141753,True,0.44119489012994256,Small
Climate Change & CO2 Debate,"Gender, Feminism & Relationships",1.1111111111111112,1.4464285714285714,-0.33531746031746024,1543.5,1.9109858757450943e-05,0.02065775731680447,True,-0.7979513853686867,Medium
Political Scandal & Corruption (Senate/PMO),Religion (Islam/Christianity) & Church Issues,1.2222222222222223,1.5858585858585859,-0.36363636363636354,2401.0,2.004994409930753e-05,0.021673989571351443,True,-0.6405504107425539,Medium
Race & Racism Discourse (White/Black),Harper vs Trudeau Election Talk,1.896551724137931,1.34,0.556551724137931,2092.5,2.1967446908616208e-05,0.023746810108214122,True,0.8771441294512899,Large
Race & Racism Discourse (White/Black),Energy Tech (Solar/Wind/Nuclear/Power),1.896551724137931,1.2121212121212122,0.6844305120167189,742.5,2.2805471397902598e-05,0.024652714581132707,True,1.0775915524389574,Large
Race & Racism Discourse (White/Black),"Animals, Food, Meat Ethics & Environment",1.896551724137931,1.3,0.596551724137931,1288.0,2.5700366846888043e-05,0.027782096561485975,True,0.9643908545414468,Large
"Parenting, Class & Family Life",Insults / Ad Hominem Flame Replies,1.1714285714285715,2.066666666666667,-0.8952380952380954,102.0,2.669198155262181e-05,0.028854032058384178,True,-1.3902108692954873,Large
Race & Racism Discourse (White/Black),Harper-era Conservatism & Government,1.896551724137931,1.1818181818181819,0.7147335423197492,513.0,3.489826329734442e-05,0.03772502262442932,True,1.0220619168386724,Large
Media & Journalism (Globe and Mail Commentary),Insults / Ad Hominem Flame Replies,1.305263157894737,2.066666666666667,-0.76140350877193,342.0,4.4907172324755054e-05,0.048544653283060214,True,-1.107129248026329,Large
"Cities, Transit & Urban Development",Fascism/Nazism/Confederate Symbols,1.1290322580645162,1.5625,-0.43346774193548376,609.0,4.4971373450397864e-05,0.04861405469988009,True,-0.9106956694679528,Large
